Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,273.461924,-138.418472,0,bottom
C1,100n,C_0402_1005Metric,275.986924,-123.818472,45,bottom
C2,100n,C_0402_1005Metric,276.661924,-123.143472,45,bottom
C3,100n,C_0402_1005Metric,277.5,-119.025,180,bottom
C4,100n,C_0402_1005Metric,273.725,-114.425,-90,bottom
C5,100n,C_0402_1005Metric,266.861924,-115.518472,45,bottom
C6,100n,C_0402_1005Metric,265.747513,-122.968472,-45,bottom
C7,100n,C_0402_1005Metric,277.5,-119.975,180,bottom
C8,100n,C_0402_1005Metric,279.66825,-135.215,0,bottom
C9,1u,C_0402_1005Metric,278.605,-121.415,45,bottom
C10,100n,C_0402_1005Metric,275.311924,-124.493472,45,bottom
C11,100n,C_0402_1005Metric,267.536924,-114.843472,45,bottom
C12,1u,C_0402_1005Metric,277.93,-122.09,45,bottom
C13,2.2uF,C_0402_1005Metric,258.55,-79.1,0,bottom
C14,1uF,C_0402_1005Metric,258.975,-72.675,90,bottom
C15,15p,C_0402_1005Metric,263.225,-108.425003,-90,bottom
C16,15p,C_0402_1005Metric,265.25,-111.475001,180,bottom
C17,100n,C_0402_1005Metric,269.011924,-125.868472,-45,bottom
C18,470pF,C_0603_1608Metric,261,-79.1,0,bottom
D1,D_Small,Diode_SOD-123_noref2,-11.45,-55.775,90,bottom
D2,D_Small,Diode_SOD-123_noref2,26.8375,-55.6025,90,bottom
D3,D_Small,Diode_SOD-123_noref2,45.71,-55.85,90,bottom
D4,D_Small,Diode_SOD-123_noref2,64.9375,-55.6025,90,bottom
D5,D_Small,Diode_SOD-123_noref2,83.77,-55.84,90,bottom
D6,D_Small,Diode_SOD-123_noref2,112.08,-55.9,90,bottom
D7,D_Small,Diode_SOD-123_noref2,131.6125,-55.6025,90,bottom
D8,D_Small,Diode_SOD-123_noref2,150.34,-55.91,90,bottom
D9,D_Small,Diode_SOD-123_noref2,169.7125,-55.6025,90,bottom
D10,D_Small,Diode_SOD-123_noref2,198.27,-55.88,90,bottom
D11,D_Small,Diode_SOD-123_noref2,217.3375,-55.6025,90,bottom
D12,D_Small,Diode_SOD-123_noref2,236.32,-55.9,90,bottom
D13,D_Small,Diode_SOD-123_noref2,255.4375,-55.6025,90,bottom
D14,D_Small,Diode_SOD-123_noref2,282.75,-56.55,90,bottom
D15,D_Small,Diode_SOD-123_noref2,299.025,-57.875,90,bottom
D16,D_Small,Diode_SOD-123_noref2,301.35,-57.875,90,bottom
D17,D_Small,Diode_SOD-123_noref2,-11.2625,-79.415,90,bottom
D18,D_Small,Diode_SOD-123_noref2,7.7875,-79.415,90,bottom
D19,D_Small,Diode_SOD-123_noref2,26.8375,-79.415,90,bottom
D20,D_Small,Diode_SOD-123_noref2,45.8875,-79.415,90,bottom
D21,D_Small,Diode_SOD-123_noref2,64.9375,-79.415,90,bottom
D22,D_Small,Diode_SOD-123_noref2,83.9875,-79.415,90,bottom
D23,D_Small,Diode_SOD-123_noref2,103.0375,-79.415,90,bottom
D24,D_Small,Diode_SOD-123_noref2,122.0875,-79.415,90,bottom
D25,D_Small,Diode_SOD-123_noref2,141.1375,-79.415,90,bottom
D26,D_Small,Diode_SOD-123_noref2,160.1875,-79.415,90,bottom
D27,D_Small,Diode_SOD-123_noref2,179.2375,-79.415,90,bottom
D28,D_Small,Diode_SOD-123_noref2,198.2875,-79.415,90,bottom
D29,D_Small,Diode_SOD-123_noref2,217.3375,-79.415,90,bottom
D30,D_Small,Diode_SOD-123_noref2,235.35,-79.415,90,bottom
D31,D_Small,Diode_SOD-123_noref2,250.73075,-79.415,90,bottom
D32,D_Small,Diode_SOD-123_noref2,279.25,-79.415,90,bottom
D33,D_Small,Diode_SOD-123_noref2,298.3,-79.415,90,bottom
D34,D_Small,Diode_SOD-123_noref2,300.65,-79.415,90,bottom
D35,D_Small,Diode_SOD-123_noref2,-6.5,-98.465,90,bottom
D36,D_Small,Diode_SOD-123_noref2,17.3125,-98.465,90,bottom
D37,D_Small,Diode_SOD-123_noref2,36.3625,-98.465,90,bottom
D38,D_Small,Diode_SOD-123_noref2,55.4125,-98.465,90,bottom
D39,D_Small,Diode_SOD-123_noref2,74.4625,-98.465,90,bottom
